service,meanDelayAll,meanDelayRushHour,meanDelayLightTraffic,meanDelayWeekend,meanDelayWeekday
002-13,266.07,277.47,259.80,-,266.07
002-02,152.97,221.37,145.88,156.55,148.17
002-04,150.57,133.24,151.85,118.08,171.54
006-10,168.56,117.13,171.63,-,168.56
006-71,275.56,-,275.56,-,275.56
006-72,260.09,-,260.09,-,260.09
006-73,113.15,-,113.15,-,113.15
006-74,121.17,-,121.17,-,121.17
006-04,538.10,1332.88,196.25,-,538.10
008-13,125.35,144.61,119.53,-,125.35
009-11,180.45,189.26,135.86,-,180.45
009-31,436.26,594.12,251.89,-,436.26
009-32,438.60,438.60,-,-,438.60
012-14,294.78,489.41,174.59,-,294.78
012-02,351.90,568.29,207.34,223.27,392.42
012-06,725.68,3578.45,190.11,1236.02,215.35
012-01,312.54,575.19,138.97,183.42,355.86
009-01,178.98,232.60,148.00,89.96,194.28
006-05,608.99,1011.34,132.63,143.60,663.74
012-07,181.69,149.14,196.07,198.65,175.31
009-02,165.45,166.02,165.03,111.98,181.63
006-02,737.44,1240.75,307.70,200.72,812.73
008-05,175.03,130.41,192.45,189.77,170.82
009-04,298.66,358.61,270.01,126.46,344.59
008-07,160.15,177.79,154.33,161.74,159.83
012-08,235.28,321.41,169.65,135.51,248.34
012-32,184.16,-,184.16,-,184.16
006-21,157.85,171.37,146.79,-,157.85
009-05,193.98,208.74,185.18,150.13,200.21
009-15,136.85,133.13,159.57,-,136.85
012-03,318.69,438.30,216.00,968.71,192.71
012-11,264.91,410.63,194.60,-,264.91
012-05,222.18,190.49,243.99,221.31,222.46
008-15,197.08,175.96,207.11,-,197.08
006-03,437.78,888.04,156.56,-,437.78
004-13,274.57,223.93,375.85,-,274.57
004-02,259.79,335.10,153.22,-,259.79
012-10,300.31,437.91,207.70,-,300.31
006-20,73.55,41.96,97.25,-,73.55
009-12,138.62,138.62,-,-,138.62
004-04,189.88,189.88,-,-,189.88
009-03,149.24,193.60,139.43,87.81,159.37
004-05,150.02,136.85,198.72,-,150.02
002-06,192.24,180.52,193.12,130.51,200.95
008-08,138.57,156.77,130.84,147.44,134.31
004-08,462.04,541.94,295.82,-,462.04
004-11,193.99,130.80,207.82,-,193.99
008-10,165.76,-,165.76,-,165.76
012-09,170.55,207.38,158.72,-,170.55
002-01,195.12,106.00,195.76,116.58,222.64
012-15,383.52,459.25,331.64,-,383.52
009-33,424.47,467.87,185.76,-,424.47
002-05,157.64,218.12,150.41,130.27,181.98
002-08,161.56,144.62,164.97,165.51,156.48
002-12,138.80,92.78,145.25,-,138.80
004-06,332.44,332.44,-,-,332.44
002-07,247.13,456.54,142.18,139.72,278.92
008-09,158.25,126.22,172.44,-,158.25
002-11,313.87,407.82,236.48,-,313.87
004-12,187.46,204.62,184.56,-,187.46
006-11,153.90,-,153.90,-,153.90
012-04,188.22,204.43,180.91,148.46,191.14
012-12,321.50,324.68,320.24,-,321.50
006-09,139.35,113.70,144.10,-,139.35
006-62,113.83,-,113.83,-,113.83
006-17,132.42,205.83,126.38,-,132.42
006-64,117.65,-,117.65,-,117.65
008-14,162.43,152.32,166.74,-,162.43
009-35,194.43,241.94,147.45,-,194.43
006-08,206.70,241.25,192.84,-,206.70
009-06,172.71,153.90,181.91,104.12,187.27
008-01,128.52,123.47,130.25,129.22,128.02
008-03,121.78,106.85,127.50,128.94,120.24
008-04,203.35,126.88,243.85,142.95,216.99
008-06,133.56,101.12,143.92,103.60,151.26
008-02,135.68,121.72,141.18,-,135.68
006-07,162.57,187.17,148.06,94.46,169.29
012-13,170.57,186.80,156.97,-,170.57
008-12,146.90,157.41,140.00,-,146.90
004-07,219.69,210.29,228.36,-,219.69
002-14,179.03,-,179.03,-,179.03
004-14,272.46,349.25,234.07,-,272.46
002-03,260.60,370.04,201.55,159.92,304.62
002-09,195.87,233.45,126.97,-,195.87
006-40,224.07,384.12,114.19,-,224.07
002-15,221.86,227.75,220.18,-,221.86
009-34,202.37,245.24,134.90,-,202.37
006-13,71.56,108.21,60.21,-,71.56
004-01,144.12,144.46,142.00,-,144.12
006-06,211.87,802.58,133.64,115.88,262.44
006-39,235.41,203.42,251.49,-,235.41
006-01,275.36,119.97,315.76,-,275.36
002-10,137.54,-,137.54,-,137.54
008-11,127.99,141.18,123.20,-,127.99
004-10,186.46,205.02,126.11,-,186.46
004-03,130.24,130.24,-,-,130.24
006-37,220.18,354.16,153.19,-,220.18
004-15,400.02,500.85,198.36,-,400.02
009-16,128.12,128.12,-,-,128.12
006-70,132.37,-,132.37,-,132.37
006-63,201.44,-,201.44,-,201.44
012-36,206.96,-,206.96,-,206.96
006-60,202.81,-,202.81,-,202.81
