variant,meanDelayAll,meanDelayRushHour,meanDelayLightTraffic,meanDelayWeekend,meanDelayWeekday
T11R2,226.44,360.96,184.39,142.42,258.05
T12R2,179.07,234.29,168.59,143.74,189.11
T32R6,203.54,-,203.54,-,203.54
T302R8,176.16,156.91,183.70,162.07,178.75
T42R9,323.27,466.23,211.20,155.47,347.63
T201R12,214.68,278.38,187.44,290.91,198.77
T212R12,473.89,597.10,275.43,-,473.89
T202R12,332.21,491.47,249.94,430.76,315.36
T71R9,175.60,176.54,174.88,100.83,194.15
T11R9,204.62,253.86,166.19,117.78,208.16
T52R6,342.02,613.59,169.72,131.06,355.70
T21R8,122.81,117.03,124.96,109.00,125.09
T12R9,207.54,229.76,175.36,-,207.54
T211R12,206.33,259.37,174.18,-,206.33
T42R4,241.68,272.81,196.88,-,241.68
T22R6,130.91,41.96,135.64,-,130.91
T12R4,181.56,175.80,196.48,-,181.56
T22R4,985.83,985.83,-,-,985.83
T32R4,255.66,168.06,288.51,-,255.66
T72R6,111.05,-,111.05,-,111.05
