vehicleCode,meanDelayAll,meanDelayRushHour,meanDelayLightTraffic,meanDelayWeekend,meanDelayWeekday
1168,223.78,295.03,186.80,-,223.78
1122,224.89,293.38,184.33,-,224.89
1169,179.25,190.26,170.85,-,179.25
1035,201.42,162.65,217.61,-,201.42
1012,149.05,150.42,147.99,81.64,153.36
1007,238.74,185.50,269.31,-,238.74
1034,162.53,213.29,140.99,139.99,169.05
1004,113.22,110.03,118.45,-,113.22
1036,274.43,428.85,148.59,117.29,280.23
1044,173.31,152.07,184.55,-,173.31
1033,180.29,190.72,174.76,142.05,195.98
1501,413.88,495.84,251.60,-,413.88
1080,255.43,469.02,167.27,297.94,251.43
1061,341.48,656.68,162.08,143.38,349.54
1073,280.06,549.41,162.03,162.78,288.46
1058,279.84,628.28,146.18,131.34,298.02
1027,175.34,272.62,142.91,130.12,184.07
1065,257.79,473.66,171.35,202.12,272.24
1074,216.98,232.19,208.47,162.33,229.26
1079,168.91,210.93,148.98,94.11,176.20
1022,368.37,766.63,215.14,144.98,419.43
1032,203.89,282.57,162.77,122.53,248.06
1152,313.60,499.12,205.48,-,313.60
1030,180.24,268.31,135.51,151.89,185.27
1085,279.96,460.20,135.20,-,279.96
1053,137.31,180.71,125.97,-,137.31
1082,190.04,171.18,200.28,170.23,194.90
1083,151.03,165.29,146.17,111.75,153.72
1060,157.94,151.18,162.71,199.62,155.80
1111,176.11,168.05,186.61,-,176.11
1081,690.11,1794.39,132.19,2280.82,440.46
1084,148.53,129.29,158.95,171.87,135.92
1154,210.90,288.63,150.72,-,210.90
1173,173.47,210.18,157.14,-,173.47
1002,146.29,-,146.29,-,146.29
1026,208.62,351.01,160.11,155.43,214.19
1062,156.34,138.86,160.68,245.85,150.16
1041,172.93,256.95,141.08,121.85,216.36
1042,279.79,398.69,244.89,157.61,289.42
1021,251.99,537.31,151.24,147.73,275.33
1071,229.07,335.22,191.83,-,229.07
1076,216.67,296.16,184.91,118.98,273.14
1077,604.92,825.71,475.04,-,604.92
1020,259.69,392.68,192.34,140.87,278.94
1112,188.55,287.83,167.89,-,188.55
1170,252.05,252.74,251.59,-,252.05
1075,179.19,328.89,129.87,-,179.19
1072,151.22,177.09,109.50,-,151.22
1174,71.98,-,71.98,-,71.98
1176,247.06,341.12,203.62,-,247.06
1066,346.71,270.27,378.96,173.81,446.59
1016,163.26,225.88,138.39,114.68,197.92
1069,204.42,121.69,219.60,127.52,224.10
1070,131.90,150.05,126.59,142.39,130.68
1001,106.82,110.34,100.81,-,106.82
1040,171.27,228.30,144.78,80.93,197.80
1502,223.00,267.17,160.10,-,223.00
1013,193.01,293.96,175.26,-,193.01
1064,174.35,235.96,144.23,154.92,177.45
1014,185.11,226.25,154.72,-,185.11
1024,139.95,137.89,141.35,165.96,135.38
1052,192.71,212.81,177.59,98.69,202.32
1039,220.75,326.07,138.77,121.21,248.16
1031,219.75,118.43,264.02,147.42,238.56
1023,216.99,192.25,224.40,211.08,219.09
1025,273.07,245.94,293.13,189.50,277.00
1038,172.35,180.79,162.89,105.13,176.18
1029,259.87,428.12,206.79,138.90,311.54
1018,216.47,247.65,205.65,131.56,239.02
1138,142.18,144.88,140.55,-,142.18
1015,141.36,141.27,141.41,73.12,155.73
1067,340.21,526.70,251.49,1475.24,179.44
1006,144.19,119.80,151.43,-,144.19
1059,221.03,316.15,171.26,270.91,202.80
1045,155.60,194.34,144.00,145.54,160.12
1037,168.22,172.00,166.76,155.34,175.71
1056,199.93,268.82,159.08,147.59,203.58
1011,136.06,144.31,128.64,143.42,134.73
1028,167.84,198.34,150.11,145.94,175.95
1051,225.20,149.97,280.30,116.55,231.54
1057,192.87,170.28,209.84,152.16,196.70
1063,138.98,136.75,139.91,-,138.98
1043,173.55,166.65,177.02,118.21,188.38
1175,267.10,475.53,156.25,-,267.10
1054,163.17,203.18,134.14,94.46,168.58
1120,333.79,310.00,337.81,-,333.79
1116,271.69,446.08,185.80,-,271.69
1124,140.79,165.86,115.72,-,140.79
1055,200.11,226.55,185.34,-,200.11
1161,155.10,169.32,152.25,-,155.10
1117,95.41,94.40,95.48,-,95.41
1019,89.19,-,89.19,-,89.19
1148,137.95,137.95,-,-,137.95
1132,603.16,603.16,-,-,603.16
