vehicleCode,medianDelayAll,medianDelayRushHour,medianDelayLightTraffic,medianDelayWeekend,medianDelayWeekday
1168,153.0,204,134,-,153.0
1122,169.0,198,159,-,169.0
1169,137.5,157.5,121.0,-,137.5
1035,121.0,121,121,-,121.0
1012,103,114.0,93,54.5,109
1007,157,155.5,160,-,157
1034,121.0,135.0,116.0,110.0,128.0
1004,95.5,90,111,-,95.5
1036,122,160.5,110,102.0,122
1044,118.0,105,133,-,118.0
1033,129.5,155,121,128.0,130.0
1501,230,238.5,191,-,230
1080,138,224,124.0,250.0,126
1061,150.5,197.0,133.0,94,154
1073,137.0,162,127,128,137
1058,120.0,133,114,123.0,119.5
1027,130.5,200,107,103,139
1065,129,177.0,117,174.5,120
1074,128,119.0,135,131.0,125
1079,128,172.0,114,86.0,133
1022,136,150,134.0,115.0,155
1032,133.0,157.5,119.0,99.5,156.5
1152,193,305,126.0,-,193
1030,137,216,110.0,127.5,138
1085,129.0,188.0,104.0,-,129.0
1053,120.0,184,103,-,120.0
1082,140.0,133,143,115,153
1083,125.5,150,121,75.0,128.5
1060,120.0,112,124,170,117
1111,168.0,106,177,-,168.0
1081,119,289,105.0,2382.5,116
1084,119.0,108,126,134.0,110.5
1154,152.5,193.0,136.0,-,152.5
1173,151,168.0,143,-,151
1002,167,-,167,-,167
1026,142.5,226,123,149,140
1062,106.0,94.0,109.0,232,102
1041,117,152,110.0,104,143.5
1042,134.5,205.5,122.0,105.0,138.0
1021,135.0,192,119,106,146
1071,151.0,197,136,-,151.0
1076,149.0,173,140,107.5,201.5
1077,199.0,288.5,149.5,-,199.0
1020,148,159.0,143,115.5,155
1112,142.0,189,134,-,142.0
1170,167.0,169,163,-,167.0
1075,118,200,101.0,-,118
1072,117,141.0,93,-,117
1174,55.0,-,55.0,-,55.0
1176,150,176,131.0,-,150
1066,143,230,122.0,122,159.0
1016,114,120,112.0,101,131.0
1069,116.0,115,116,93,123
1070,116,137,108.5,123,116.0
1001,94.0,93.0,94.0,-,94.0
1040,114,179,96.5,60,147.0
1502,168.5,179.0,151.5,-,168.5
1013,132,257.5,123,-,132
1064,128.5,155,118,123,130
1014,129.0,176.0,104.5,-,129.0
1024,116.0,108.5,123.0,147.5,113.0
1052,144,154,136.0,89.5,159
1039,127.5,161.5,108.5,105,142
1031,107,103,110.0,111.0,106
1023,145.0,164,137,200.5,119.0
1025,122,135.5,111,193.0,121
1038,131.0,126.0,136.0,33.5,137.5
1029,138.5,304,122,108.0,159.5
1018,133,158.0,130,100.0,156
1138,113.0,117,113,-,113.0
1015,98.5,103.5,96.5,68.5,111.5
1067,150,176.5,139,1429,140.5
1006,119.0,109,120,-,119.0
1059,144,200.0,123,181,131.5
1045,126,143,122.0,126,125.5
1037,135.5,148.5,131.5,129.5,138.0
1056,134,147,115.5,106,134.5
1011,104.0,119.0,97.5,102,105
1028,110,121.5,104,120.0,104
1051,124.0,117.0,130.0,119.5,124.5
1057,142,132.5,152,115,153.5
1063,122.0,126,120,-,122.0
1043,113,132.0,108,84,124.5
1175,164.0,215.0,140.0,-,164.0
1054,127,178,96.5,69,135.0
1120,120.5,331,101,-,120.5
1116,182.5,256.0,138.0,-,182.5
1124,101.5,100.0,103.0,-,101.5
1055,171,192,160.0,-,171
1161,164.0,177,159,-,164.0
1117,83.0,141,82,-,83.0
1019,80.5,-,80.5,-,80.5
1148,92.0,92.0,-,-,92.0
1132,619.5,619.5,-,-,619.5
